"Tipo","SKU","¿Existencias?","Inventario","Precio normal","Porcentajede descuento","precio con descuento","Categorías","Etiquetas","Valor(es) del atributo 1","Valor(es) del atributo 2","Valor(es) del atributo 3","Valor(es) del atributo 4","Valor(es) del atributo 5","Valor(es) del atributo 6","Valor(es) del atributo 7","Valor(es) del atributo 8","Valor(es) del atributo 9","Valor(es) del atributo 10","Valor(es) del atributo 11","Valor(es) del atributo 12","Valor(es) del atributo 13","IMAGEN 1","IMAGEN 2","IMAGEN 3"
"De Marca","VBI 31362","1","1","$2,800.00","15%","$2,380.00","DE MARCA","CON CLIP","VBI 31362","BELIEVE","CON CLIP","Morado con negro","Circular","Titaneo","Titaneo","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VLE 4165C","2","2","$3,800.00","15%","$3,230.00","DE MARCA","CON CLIP","VLE 4165C","CLOE","CON CLIP","Plata","Circular","Metalico","Metalico con acetato","CON CLIP","Transparente","Mediano","Hidrogel de tornilloh","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VLE 32265","1","1","$3,800.00","15%","$3,230.00","DE MARCA","Lente oftálmico","VLE 32265","CLOE","Lente oftálmico","Negro","cuadrado","metalico con contornos de acetato","metalicas","Sin clip","Transparente","Mediano","hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VLE 41684","1","1","$3,600.00","15%","$3,060.00","DE MARCA","Lente oftálmico","VLE 41684","CLOE","Lente oftálmico","Transparente","Agatada","Acetato","Acetato con metal","Sin clip","Transparente","Mediano","puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.41684.-1_resultado-1.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.41684.-3_resultado-1.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.41684.-3_resultado-1.webp"
"De Marca","VLE.40733","1","1","$3,800.00","15%","$3,230.00","DE MARCA","CON CLIP","VLE.40733","CLOE","CON CLIP","Cafe","Agatada","Acetato","Metalico con acetato","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.40733.-1_resultado-1.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.40733.-2_resultado-1.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.40733.-3_resultado-1.webp"
"De Marca","VLE.51433","1","1","$3,800.00","15%","$3,230.00","DE MARCA","CON CLIP","VLE.51433","CLOE","CON CLIP","Cobre","Aviador corto","Metalico","Metalico con acetato","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51433.-1_resultado-1.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51433.-2_resultado-1.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51433.-3_resultado-1.webp"
"De Marca","VLE.51439","1","1","$3,800.00","15%","$3,230.00","DE MARCA","CON CLIP","VLE.51439","CLOE","CON CLIP","Azul marino","Hexagonal","Acetato","Metalico con acetato","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51439.-1_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51439.-2_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51439.-3_resultado.webp"
"De Marca","VLE.51441","1","1","$3,800.00","15%","$3,230.00","DE MARCA","CON CLIP","VLE.51441","CLOE","CON CLIP","Morado","Agatada","Acetatoo","Metalico con acetato","CON CLIP","Transparente","Mediano","Hidrogel de tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51441.-1_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51441.-2_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.51441.-3_resultado.webp"
"De Marca","VLE.40737","1","1","$3,800.00","15%","$3,230.00","DE MARCA","Lente oftálmico","VLE.40737","CLOE","Lente oftálmico","Cafe","Agatada","Acetato","Acetato","Sin clip","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.40737.-1_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.40737.-2_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.40737.-3_resultado.webp"
"De Marca","VLE.41691","1","1","$3,800.00","15%","$3,230.00","DE MARCA","Lente oftálmico","VLE.41691","CLOE","Lente oftálmico","Negro","Agatada","Acetato","Acetato con metal","Sin clip","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.41691.-1_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.41691.-2_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.41691.-3_resultado.webp"
"De Marca","VLE.42626","1","1","$3,800.00","15%","$3,230.00","DE MARCA","Lente oftálmico","VLE.42626","CLOE","Lente oftálmico","Negro","Aviador corto","Metalico","Acetato con metal","Sin clip","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.42626.-1_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.42626.-2_resultado.webp","https://opticaskairoz.com.mx/wp-content/uploads/2025/07/CLOE-VLE.42626.-3_resultado.webp"
"De Marca","VLE.51463","1","1","$3,800.00","15%","$3,230.00","DE MARCA","CON CLIP","VLE.51463","CLOE","CON CLIP","Rojo","Redondo","Acetato","Acetato","CON CLIP","Transparente","Mediano","Puente anatomico","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
"De Marca","VPV.W02YL","1","1","$5,999.00","15%","$5,099.15","DE MARCA","Lente oftálmico","VPV.W02YL","PINEDA COVALIN ","Lente oftálmico","plateado con  negro","obalado","metalico","metalico","Sin clip","Transparente","Mediano","hidrogel con tornillo","Lente, paño, estuche y líquido antirreflejante","30 días de garantía contra defectos de fábrica.","","",""
